CLIENTNUM,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Contacts_Count_12_mon
768805383,45.0,M,3,High School,Married,3
818770008,49.0,F,5,Graduate,Single,2
713982108,51.0,M,3,Graduate,Married,0
769911858,40.0,F,4,High School,Unknown,1
709106358,40.0,M,3,Uneducated,Married,0
713061558,44.0,M,2,Graduate,Married,2
810347208,51.0,M,4,Unknown,Married,3
818906208,32.0,M,0,High School,Unknown,2
710930508,37.0,M,3,Uneducated,Single,0
719661558,48.0,M,2,Graduate,Single,3
708790833,42.0,M,5,Uneducated,Unknown,2
710821833,65.0,M,1,Unknown,Married,3
710599683,56.0,M,1,College,Single,0
816082233,35.0,M,3,Graduate,Unknown,3
712396908,57.0,m,2,Graduate,Married   ,2
714885258,44.0,M,4,Unknown,N/A,2
709967358,48.0,M,4,Post-Graduate,Single,3
753327333,41.0,M,3,Unknown,Married,1
806160108,61.0,M,1,High School,Married,3
709327383,45.0,F,2,Graduate,N/A,2
806165208,47.0,M,1,Doctorate,Divorced,0
708508758,62.0,F,0,Graduate,Married   ,3
784725333,41.0,M,3,High School,Married,1
811604133,47.0,F,4,Unknown,Single,2
789124683,54.0,M,2,Unknown,Married,3
771071958,41.0,F,3,Graduate,Married   ,2
720466383,59.0,M,1,High School,Unknown,2
804424383,63.0,M,1,Unknown,Married,2
718813833,44.0,F,3,Uneducated,Single,2
806624208,47.0,m,4,High School,Married,0
778348233,53.0,M,3,Unknown,Married,3
712991808,53.0,m,2,Uneducated,Married,1
709029408,-99.0,M,4,Graduate,Married,2
788658483,53.0,m,2,College,Married,3
787937058,58.0,M,0,Graduate,Married,2
715318008,55.0,m,1,College,Single,1
713962233,55.0,F,3,Graduate,Married,3
785432733,42.0,F,4,High School,Married,3
715190283,57.0,F,1,Graduate,Unknown,2
708300483,66.0,m,0,Doctorate,Married,3
827111283,45.0,M,3,Graduate,N/A,2
758551608,51.0,M,2,Unknown,Married,0
773146383,50.0,F,1,College,Single,3
778493808,49.0,M,3,High School,Married   ,1
720572508,38.0,F,4,Graduate,Married   ,3
712661433,49.0,M,4,Uneducated,Single,3
789172683,56.0,M,2,Doctorate,Married,0
738406533,59.0, M ,1,Doctorate,Married,2
799723908,46.0,M,3,High School,Married   ,3
771490833,52.0,M,1,College,N/A,1
720756708,52.0,F,3,Unknown,Married   ,2
779471883,54.0,F,1,Graduate,Married,1
711525033,66.0,F,0,High School,Married,2
712813458,49.0,FEMALE,2,Unknown,Married,0
714374133,56.0,M,2,Graduate,Married,3
717891558,49.0,F,4,Graduate,Unknown,2
716632758,49.0,F,3,Graduate,Single,0
768563658,56.0,M,2,Uneducated,Married,3
711427458,44.0,F,5,Graduate,Married,2
714091983,42.0,M,2,High School,Single,3
787584108,55.0, M ,3,Unknown,Married,3
712030833,48.0,M,2,Graduate,Married,4
711481533,39.0,M,1,High School,Divorced,3
710082708,44.0,M,4,Post-Graduate,Single,2
708155733,53.0,M,2,High School,Single,2
788979258,51.0,M,4,Uneducated,Married   ,4
807986133,57.0,M,2,College,Married,3
788730933,44.0,F,2,Uneducated,Married   ,3
711314058,49.0,M,2,Graduate,Married,2
717975333,50.0,M,2,Doctorate,Married,2
715971108,51.0,M,4,Graduate,Single,3
720096558,55.0,F,2,Graduate,Married,3
719580033,54.0,M,1,Graduate,Unknown,3
820582308,42.0,M,5,Uneducated,Married,2
789973308,44.0,M,1,College,Single,3
712876233,53.0,FEMALE,2,Graduate,Single,2
804595158,44.0,F,4,Graduate,Single,2
714826758,37.0,FEMALE,3,Uneducated,N/A,2
779058108,49.0,M,3,Graduate,Divorced,2
710790258,47.0,M,2,Graduate,Married,2
715623483,47.0,m,3,Graduate,Married,0
715156383,44.0,M,1,Unknown,Unknown,2
711013983,55.0,F,4,Unknown,Married,3
755420433,59.0, M ,1,Graduate,Married,3
794543958,53.0,M,1,Graduate,Divorced,2
716396358,52.0,M,2,Graduate,Married,0
715398033,53.0,M,2,High School,Single,1
711743883,43.0,F,3,Uneducated,Single,3
719720058,44.0,m,3,High School,Single,1
778992108,57.0,M,2,Unknown,Married,3
717539808,51.0,F,2,High School,Married   ,2
714070758,49.0,M,4,High School,Single,0
714107958,45.0,m,1,Graduate,Single,3
789140283,53.0,FEMALE,0,Graduate,Single,1
715550508,45.0,F,3,Unknown,Married,2
719712633,64.0,M,1,Graduate,Married,3
772629333,45.0, M ,3,Graduate,Married,2
720336708,53.0,M,3,Doctorate,Married,2
802013583,56.0,M,3,College,Married,0
711887583,47.0,M,2,Unknown,Married,3
714778833,49.0,F,3,College,Single,0
713843283,41.0,F,3,Unknown,Married   ,3
779155158,53.0,M,3,Graduate,Married   ,2
721091583,44.0,F,2,Graduate,Single,3
713572683,44.0,M,3,High School,Unknown,0
716657058,43.0,F,4,Post-Graduate,Married   ,3
779509983,53.0,m,2,Post-Graduate,Single,2
717929133,44.0,m,1,Uneducated,Married,3
808284783,62.0,m,1,Unknown,Married,0
708476808,54.0,M,4,Unknown,Divorced,2
710916408,57.0,M,4,Graduate,Married,0
708492558,42.0,M,3,Unknown,Married,3
799825758,42.0,M,4,High School,Divorced,2
718619883,54.0,F,0,Uneducated,Married,2
711844758,48.0,M,3,Graduate,Single,0
714798783,49.0,M,1,Graduate,N/A,2
826762908,52.0,M,3,High School,Married   ,0
771894558,50.0,M,3,High School,Single,4
721074183,49.0,FEMALE,1,Doctorate,Married,3
715259583,53.0,FEMALE,2,High School,Married,3
718414008,50.0,M,2,Graduate,Single,2
719666283,55.0,F,1,Doctorate,Married,0
714877233,53.0,M,1,High School,Married,2
785387883,47.0,F,3,High School,Single,3
771075258,55.0,M,2,College,Single,2
711318033,47.0,M,3,Graduate,Single,2
783554958,58.0,M,4,Graduate,Single,0
720201033,53.0,M,2,Graduate,Married   ,2
718039683,52.0,M,2,High School,Single,2
710806083,50.0,F,1,Uneducated,Unknown,2
714752208,42.0,F,1,Graduate,Married,2
822063408,43.0,M,4,Unknown,Married,2
714490308,57.0,M,4,Graduate,Married   ,3
713356833,52.0,M,1,Graduate,Married,4
711402333,47.0,M,2,Doctorate,Married   ,3
708296883,44.0,F,3,Graduate,Single,0
719154483,53.0,M,2,High School,Divorced,2
717721458,45.0,M,4,College,Divorced,0
711112683,63.0,F,1,College,Married,3
715674483,39.0,F,2,Post-Graduate,Single,2
789322833,48.0,F,5,High School,Married,3
789968058,51.0,FEMALE,1,Unknown,Single,3
709919283,54.0,M,4,Graduate,Married,2
718744008,59.0,F,1,Graduate,Single,3
767712558,,M,1,College,Single,3
712950783,48.0,F,4,Uneducated,Married,3
716104983,41.0,F,2,Graduate,Single,2
818839983,55.0,M,2,Graduate,Married,0
772288758,47.0,F,4,Graduate,Married,3
712350858,41.0,M,2,High School,Married,3
711009708,40.0,M,3,High School,Single,0
712720158,68.0,M,1,Graduate,Married,3
712215258,50.0,F,1,Graduate,Single,3
773827008,47.0,M,4,Uneducated,Married   ,2
795232683,53.0,F,1,College,Married,3
713786508,42.0,F,5,Unknown,Married,3
713539833,48.0,FEMALE,4,High School,Single,3
712454058,49.0,M,1,Doctorate,Married,3
718759833,44.0,F,2,Uneducated,Married,2
718803333,43.0,F,4,Graduate,Divorced,1
720253908,56.0,M,0,High School,Married,1
714133158,59.0,F,1,College,Single,3
713187033,46.0,M,1,Uneducated,Married,2
714791208,47.0,F,4,Unknown,Divorced,3
772426383,50.0,F,4,Uneducated,Married,3
710975883,51.0, M ,3,Uneducated,Married,2
714264408,47.0,F,3,Uneducated,Married,0
715827858,58.0,F,4,Uneducated,Married,3
713741358,46.0,M,5,Graduate,Single,3
709531908,53.0,m,3,High School,Married,2
716493408,45.0,F,4,Uneducated,Divorced,3
714141108,52.0,F,1,High School,Married,3
708953883,53.0,M,2,Unknown,Married,1
712608783,50.0,M,2,High School,Married,3
820353558,41.0,F,3,High School,Married,2
714964758,45.0,F,5,Graduate,Divorced,2
716264358,53.0,M,3,Uneducated,Married   ,2
717296808,67.0,F,1,Graduate,Married,2
712977183,57.0,F,2,Uneducated,Single,0
710829108,59.0,F,1,Uneducated,Married,3
779562633,45.0,M,2,Uneducated,Married,1
715315833,51.0,M,3,Graduate,Married,3
815500983,59.0,F,1,Uneducated,Married,0
719360583,53.0,M,1,Graduate,Married,2
709701558,47.0,M,3,Graduate,Married,2
721148358,49.0,F,3,Uneducated,Single,1
779862408,49.0,M,3,Post-Graduate,Single,0
812627208,60.0,F,0,College,Single,3
711033408,50.0,F,2,High School,Married,2
779956608,41.0,F,2,Post-Graduate,Married,3
780376683,57.0,M,1,Graduate,Married,1
717912483,43.0,M,4,Graduate,Unknown,0
714454758,57.0,F,3,Graduate,Married,3
780466533,54.0,FEMALE,3,Doctorate,Married,0
715735233,51.0,F,5,Post-Graduate,Married,1
720476733,47.0,F,3,High School,Married,2
715872333,41.0,M,0,High School,Married   ,3
712375758,53.0,M,3,Uneducated,Married,1
708868233,68.0,M,0,High School,Married,2
718030083,59.0,M,1,College,Married,2
720707283,48.0,M,4,Unknown,N/A,0
771698658,44.0,M,5,Graduate,Married,3
748326258,48.0,M,3,College,Married   ,3
770817783,47.0,M,4,Graduate,Married,1
779353083,47.0,M,2,Graduate,Married,2
711441333,43.0,F,1,High School,Divorced,2
719808558,55.0,F,2,Graduate,Married,3
711551958,59.0,M,2,Post-Graduate,Married,3
809164083,63.0,M,1,Graduate,Married,2
820596183,58.0,M,2,College,Married,0
715999608,53.0, M ,2,High School,Married,2
710565408,59.0,M,0,Unknown,Unknown,3
805543158,52.0,M,3,Graduate,Married,3
709752183,48.0,M,3,High School,Single,2
716479233,43.0,M,4,High School,Married,2
713837058,48.0,M,2,College,Single,3
718876683,43.0,F,4,Graduate,Single,0
770746908,44.0,M,4,Unknown,Married,2
794843883,41.0,FEMALE,3,High School,Married,2
803043933,44.0,F,3,Uneducated,Divorced,3
758076408,50.0,M,2,Unknown,Single,3
714606558,60.0,F,1,Uneducated,Married,0
778425408,44.0,M,4,Graduate,Single,0
714171108,48.0,FEMALE,3,Graduate,Divorced,3
719662458,44.0,F,2,Graduate,Divorced,2
713137233,41.0, M ,2,High School,Single,0
769425858,45.0,M,3,College,Single,2
711297483,47.0,F,2,Uneducated,Divorced,2
788900883,51.0,F,2,Graduate,Married,3
758348808,51.0,M,2,Graduate,Married,3
772336458,60.0,F,1,Uneducated,Married,3
708711483,57.0,M,2,Unknown,Married,0
717906783,41.0,M,5,Graduate,Single,2
719437908,44.0,M,3,Post-Graduate,Married   ,2
769433508,43.0,M,1,College,Single,3
790096533,55.0,M,2,College,Married,2
720997383,52.0,M,1,Uneducated,Married,3
787541883,44.0,M,3,Graduate,Married   ,3
709930758,41.0,M,2,Uneducated,Married,3
789830058,44.0,M,4,Unknown,Single,2
710299608,53.0,F,2,Unknown,Married,3
710741208,39.0,M,2,High School,Single,2
821797008,49.0,M,5,College,Married,3
708874533,45.0,F,2,College,Married   ,2
715341858,54.0,M,2,Graduate,Married,3
793636308,49.0,M,3,Uneducated,Single,2
713779908,46.0,F,3,Doctorate,Single,2
712125258,46.0,M,4,High School,Married,3
709703433,47.0,M,3,Graduate,Married,2
721022433,44.0,M,2,Doctorate,Single,2
710103558,50.0,M,3,Post-Graduate,Single,2
715952883,73.0,m,0,High School,Married,2
719731458,56.0,M,3,Unknown,Unknown,4
772390908,59.0,M,0,High School,Single,3
787348608,70.0,M,0,High School,Married,3
709485033,55.0,F,2,High School,Married,3
715432608,43.0,M,4,Unknown,Single,0
799471833,45.0,M,1,Uneducated,Single,2
714187533,45.0,F,2,Uneducated,Single,0
779656908,40.0,m,1,Graduate,Married,2
788950158,36.0,M,2,College,Unknown,3
778867533,59.0,F,0,Post-Graduate,Married,1
710620383,43.0,M,4,Unknown,Married   ,2
778661358,46.0,F,1,Unknown,Married,2
789483333,41.0,M,2,Uneducated,Married,3
809855808,51.0,F,2,Graduate,Married,2
718464258,51.0,F,3,Unknown,Unknown,2
708528483,43.0,F,4,Graduate,Married   ,2
771809733,64.0,F,0,High School,Married,3
719942883,54.0,M,5,Graduate,Married,3
807226683,48.0,M,3,Unknown,Single,3
717806133,40.0,M,2,Uneducated,Divorced,0
720615708,57.0,M,0,Uneducated,Married,2
714511758,45.0,M,4,Graduate,Single,0
715050408,41.0,M,3,High School,Married   ,3
721132233,42.0,F,4,Uneducated,Married,2
719211558,45.0,M,2,Graduate,Single,2
712069008,42.0,F,4,Uneducated,Married,0
715996983,47.0,M,4,Uneducated,Divorced,2
773466258,48.0,F,4,High School,Married,3
798983508,43.0,M,1,Graduate,Single,2
719117433,41.0, M ,4,High School,Unknown,0
716451183,54.0,F,1,Uneducated,Married,3
718621608,54.0,F,2,High School,Married,1
715085733,61.0,M,0,Graduate,Married,2
788977833,61.0, M ,0,Uneducated,Married,0
720272958,48.0,M,2,High School,Married,3
708421833,45.0,F,4,Graduate,Single,2
709173108,54.0,F,4,Graduate,Married,2
709879458,54.0,F,3,Doctorate,Married,3
715120608,44.0,M,3,Graduate,Single,2
770632758,50.0,F,4,Doctorate,Single,2
779078733,55.0,M,2,Doctorate,Married,3
771742533,48.0,m,2,Graduate,Unknown,2
720250158,45.0,M,2,College,Married   ,0
716458983,60.0,m,0,High School,Married,3
713747733,55.0,M,2,High School,Married,2
712270158,62.0,FEMALE,0,High School,Married,3
789562383,38.0,F,1,High School,Unknown,0
754897008,46.0,M,3,High School,Single,2
819700533,50.0,M,0,High School,Single,3
712890408,45.0,M,2,Uneducated,N/A,2
720248208,47.0,M,3,Post-Graduate,Divorced,0
779749908,48.0,m,4,College,N/A,3
717401883,35.0,m,3,Uneducated,Married,2
721509558,,M,2,Graduate,Married,0
710572458,36.0,F,3,High School,Married,1
714576183,47.0,M,4,Graduate,Single,2
721425558,52.0,M,2,Graduate,Single,2
711109908,43.0,F,4,Uneducated,Married,1
715203108,63.0,FEMALE,2,High School,Married,2
710027508,61.0,m,0,Graduate,Married,0
787464408,53.0,M,2,Uneducated,Single,2
783542133,53.0,F,3,Graduate,Married,2
708330858,57.0,M,3,Graduate,Married,3
714426783,38.0,m,2,Graduate,Married   ,2
712701333,53.0,M,3,High School,Married,2
709494483,63.0,F,0,Unknown,Married,1
773373108,49.0,m,4,High School,Married,0
715812258,45.0,M,2,High School,Married,2
778286433,67.0,M,0,Graduate,Married,1
789270033,,m,3,Graduate,Single,3
711569433,51.0,FEMALE,2,Uneducated,Divorced,2
720214833,52.0,M,2,High School,Single,3
709346133,55.0,F,2,Uneducated,N/A,0
788194458,34.0,M,3,High School,Married,3
720779733,56.0,M,1,Uneducated,Married,2
717424458,44.0,F,2,Post-Graduate,Married   ,2
708820308,47.0,M,3,Post-Graduate,Unknown,2
710558058,46.0,F,3,Unknown,Married,3
770590758,43.0,F,3,Graduate,Single,0
718490658,50.0,F,1,Graduate,N/A,3
711985833,38.0,F,4,Uneducated,Single,0
708967608,-99.0,F,1,Graduate,Single,2
718505958,43.0,M,5,Graduate,Divorced,3
715024233,53.0,M,1,High School,Married,2
779249583,56.0, M ,1,Graduate,Married,3
709278258,54.0,M,2,Unknown,Married,2
778928283,57.0,F,3,High School,Married,1
712299858,62.0,M,1,High School,Married,3
799224108,46.0,F,4,Graduate,Single,2
809976033,49.0,M,2,Uneducated,Married,0
716203308,52.0,M,3,Graduate,Single,3
714871683,58.0,M,1,Uneducated,Married,3
716139933,54.0,M,0,High School,Married,2
716984658,49.0, M ,1,Graduate,Married,3
713086008,58.0,m,3,High School,Married,0
713773458,52.0,M,2,High School,Single,2
719242533,41.0,M,5,High School,Married,3
772712658,62.0,F,0,Uneducated,Married,2
788868858,54.0,M,2,Graduate,Married   ,2
811898133,40.0,FEMALE,3,High School,Divorced,3
788808633,43.0,M,3,Graduate,Married,2
779804208,53.0,F,2,Graduate,Single,0
781391058,55.0,M,1,Uneducated,Single,2
790134408,46.0,M,4,Graduate,Single,3
788853258,41.0,M,1,Uneducated,Married,0
711857733,49.0,M,3,Uneducated,Married   ,2
822969858,61.0,F,0,Graduate,Married,3
719554758,46.0,M,2,Uneducated,Married,2
711643458,50.0,F,1,Uneducated,Married,4
788830683,40.0,M,2,Graduate,Single,0
807030858,51.0,M,4,High School,Single,3
793059108,50.0,F,2,Graduate,Married,3
716568708,47.0,F,2,Graduate,Married,2
828281733,43.0,M,4,Unknown,Married,3
717229158,36.0,F,4,Graduate,Married,3
715915458,47.0,F,2,Graduate,Married,2
819129858,46.0,F,2,Graduate,Single,0
713441958,46.0,M,2,High School,Married,2
719091333,,M,0,Uneducated,Married,2
708666258,43.0, M ,4,Unknown,Married,0
714914583,40.0,F,4,Graduate,Married   ,3
714363858,54.0,m,4,High School,Married,3
721347408,55.0,F,1,High School,Single,0
809608533,49.0,F,4,Post-Graduate,Single,2
772047183,45.0,M,4,High School,Married,3
714217908,49.0,M,3,Graduate,Married,2
714819183,63.0,M,1,Uneducated,N/A,3
716455683,40.0,F,3,High School,N/A,3
710865633,41.0,F,2,Graduate,Married,0
752952108,37.0,M,4,Graduate,Married,3
712595433,58.0,M,2,Uneducated,N/A,3
714982383,55.0,FEMALE,2,High School,Married,3
813814008,53.0,F,1,High School,Married,2
794545983,57.0,FEMALE,2,Graduate,Married,3
708288108,43.0,M,4,Post-Graduate,Unknown,3
715585158,58.0,M,1,Graduate,Married,2
810449883,64.0,m,0,Unknown,Married,0
789863208,54.0,F,2,Graduate,Married,3
715022133,53.0,M,2,Graduate,Married   ,2
712506708,39.0,F,3,College,Single,2
715699983,56.0,M,3,High School,Married,3
818942433,54.0,F,4,Unknown,Divorced,1
712459233,59.0,F,1,Post-Graduate,Married,3
716545383,42.0,M,3,Uneducated,Single,0
721144383,42.0,M,4,Graduate,Married,2
821837958,43.0,M,3,College,N/A,1
804359133,55.0,M,0,High School,Married,3
713308683,52.0,m,1,Uneducated,Single,2
788780958,46.0,M,1,Uneducated,Unknown,3
717354558,57.0,M,2,Uneducated,Married,3
798473808,48.0,M,3,College,N/A,0
712372158,45.0,M,4,Unknown,Married,3
715192308,48.0,M,2,High School,Married,2
708813033,47.0,M,1,Graduate,Single,0
714639783,42.0,M,3,College,Married,3
709311633,41.0,M,2,Graduate,Unknown,0
709470858,51.0,M,4,College,Married,1
717292758,55.0,F,2,Graduate,Single,2
779241783,67.0,M,1,Uneducated,Married,2
715205358,39.0,M,1,Graduate,Married,1
778871508,54.0,M,3,Post-Graduate,N/A,0
779462433,55.0,F,2,Unknown,Married   ,1
710147958,47.0,M,3,High School,Married   ,2
709864833,49.0,M,2,Post-Graduate,Married,0
778868958,42.0,m,2,Graduate,Married,3
717276708,57.0,M,2,Unknown,Single,2
710004933,44.0,M,5,Uneducated,Married,2
