CLIENTNUM,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Trans_Amt,Total_Trans_Ct,Avg_Utilization_Ratio,Total_Amt_Chng_Q4_Q1,Total_Ct_Chng_Q4_Q1
768805383,"$12,691.00",777,11914.0,1144,42,0.061,1.335,1.625
818770008,"$8,256.00",864,7392.0,1291,33,0.105,1.541,3.714
713982108,"$3,418.00",0,3418.0,1887,20,0.0,2.594,2.333
769911858,"$3,313.00",2517,796.0,1171,20,0.76,1.405,2.333
709106358,"$4,716.00",0,4716.0,816,28,0.0,2.175,2.5
713061558,"$4,010.00",1247,2763.0,1088,24,0.311,1.376,0.846
810347208,"$34,516.00",2264,32252.0,1330,31,0.066,1.975,0.722
818906208,"$29,081.00",1396,27685.0,1538,36,0.048,2.204,0.714
710930508,"$22,352.00",2517,19835.0,1350,24,0.113,3.355,1.182
719661558,"$11,656.00",1677,9979.0,1441,32,0.144,1.524,0.882
708790833,"$6,748.00",1467,5281.0,1201,42,0.217,0.831,0.68
710821833,"$9,095.00",1587,7508.0,1314,26,0.174,1.433,1.364
710599683,"$11,751.00",0,11751.0,1539,17,0.0,3.397,3.25
816082233,"$8,547.00",1666,6881.0,1311,33,0.195,1.163,2.0
712396908,"$2,436.00",680,1756.0,1570,29,0.279,1.19,0.611
714885258,"$4,234.00",972,3262.0,1348,27,0.23,1.707,1.7
709967358,"$30,367.00",2362,28005.0,1671,27,0.078,1.708,0.929
753327333,"$13,535.00",1291,12244.0,1028,21,0.095,0.653,1.625
806160108,"$3,193.00",2517,676.0,1336,30,0.788,1.831,1.143
709327383,"$14,470.00",1157,13313.0,1207,21,0.08,0.966,0.909
806165208,"$20,979.00",1800,19179.0,1178,27,0.086,0.906,0.929
708508758,"$1,438.30",0,1438.3,692,16,0.0,1.047,0.6
784725333,"$4,470.00",680,3790.0,931,18,0.152,1.608,1.571
811604133,"$2,492.00",1560,932.0,1126,23,0.626,0.573,0.353
789124683,"$12,217.00",0,12217.0,1110,21,0.0,1.075,0.75
771071958,"$7,768.00",1669,6099.0,1051,22,0.215,0.797,0.833
720466383,"$14,784.00",1374,13410.0,1197,23,0.093,0.921,1.3
804424383,"$10,215.00",1010,9205.0,1904,40,0.099,0.843,1.0
718813833,"$10,100.00",0,10100.0,1052,18,0.0,0.525,1.571
806624208,"$4,785.00",1362,3423.0,1045,38,0.285,0.739,0.9
778348233,"$2,753.00",1811,942.0,1038,25,0.658,0.977,2.571
712991808,"$2,451.00",1690,761.0,1596,26,0.69,1.323,1.6
709029408,"$8,923.00",2517,6406.0,1589,24,0.282,1.726,1.667
788658483,"$2,650.00",1490,1160.0,1411,28,0.562,1.75,1.0
787937058,"$12,555.00",1696,10859.0,1291,24,0.135,0.519,0.714
715318008,"$3,520.00",1914,1606.0,1407,43,0.544,0.51,0.483
713962233,"$3,035.00",2298,737.0,1877,37,0.757,1.724,1.176
785432733,"$15,433.00",0,15433.0,966,22,0.0,0.865,1.2
715190283,"$3,672.00",886,2786.0,1464,28,0.241,1.32,0.556
708300483,"$7,882.00",605,7277.0,704,16,0.077,1.052,0.143
827111283,"$32,426.00",578,31848.0,1109,28,0.018,1.042,0.474
758551608,"$6,205.00",2204,4001.0,1347,28,0.355,0.803,0.556
773146383,"$17,304.00",2517,14787.0,1756,33,0.145,1.449,1.2
778493808,"$3,906.00",0,3906.0,1756,32,0.0,1.214,1.0
720572508,"$9,830.00",2055,7775.0,1042,23,0.209,0.977,0.917
712661433,"$34,516.00",0,34516.0,1444,28,0.0,1.621,1.333
789172683,"$2,283.00",1430,853.0,1741,27,0.626,2.316,0.588
738406533,"$2,548.00",2020,528.0,1719,27,0.793,2.357,1.7
799723908,"$19,458.00",1435,18023.0,1217,27,0.074,0.787,0.8
771490833,"$4,745.00",1227,3518.0,1140,40,0.259,0.624,0.6
720756708,"$2,622.00",1549,1073.0,1878,30,0.591,1.321,1.143
779471883,"$1,438.30",808,630.3,705,19,0.562,0.997,0.9
711525033,"$3,171.00",2179,992.0,1946,38,0.687,1.224,1.923
712813458,"$19,763.00",2517,17246.0,1414,35,0.127,0.664,0.25
714374133,"$15,769.00",0,15769.0,602,15,0.0,1.041,0.364
717891558,"$3,298.00",2200,1098.0,1052,32,0.667,0.678,0.6
716632758,"$2,802.00",2363,439.0,1295,40,0.843,0.75,0.6
768563658,"$4,458.00",1880,2578.0,1424,29,0.422,1.107,1.417
711427458,"$6,273.00",978,5295.0,1359,25,0.156,2.275,1.083
714091983,"$3,336.00",1753,1583.0,1168,27,0.525,0.69,1.25
787584108,"$3,436.00",2016,1420.0,1097,33,0.587,0.901,0.833
712030833,"$34,516.00",0,34516.0,691,15,0.0,0.763,0.5
711481533,"$5,926.00",1251,4675.0,1316,28,0.211,0.944,1.154
710082708,"$23,957.00",2102,21855.0,1276,26,0.088,0.997,0.733
708155733,"$14,734.00",1634,13100.0,1289,23,0.111,0.989,0.917
788979258,"$34,516.00",1515,33001.0,1293,32,0.044,0.592,0.6
807986133,"$6,584.00",1817,4767.0,1353,35,0.276,0.62,0.667
788730933,"$2,084.00",1468,616.0,1132,28,0.704,1.004,0.556
711314058,"$1,687.00",1107,580.0,1670,17,0.656,1.715,2.4
717975333,"$25,300.00",1330,23970.0,837,15,0.053,1.072,2.0
715971108,"$34,516.00",1763,32753.0,1550,41,0.051,1.266,1.05
720096558,"$2,216.00",1034,1182.0,1540,36,0.467,0.758,0.286
719580033,"$2,910.00",2030,880.0,1256,21,0.698,0.769,0.4
820582308,"$22,913.00",1528,21385.0,1394,35,0.067,0.414,0.522
789973308,"$24,312.00",1932,22380.0,1341,24,0.079,1.312,1.182
712876233,"$5,272.00",1515,3757.0,1289,33,0.287,0.857,0.435
804595158,"$7,000.00",2517,4483.0,1112,23,0.36,0.475,1.875
714826758,"$7,038.00",1801,5237.0,2339,57,0.256,0.751,0.966
779058108,"$2,536.00",1823,713.0,1468,23,0.719,0.703,0.353
710790258,"$28,904.00",1899,27005.0,1334,35,0.066,0.85,0.4
715623483,"$8,567.00",1695,6872.0,1457,41,0.198,1.242,1.412
715156383,"$34,516.00",1533,32983.0,1603,29,0.044,0.924,0.526
711013983,"$2,158.00",0,2158.0,615,12,0.0,0.585,0.714
755420433,"$10,133.00",1417,8716.0,1068,20,0.14,0.383,0.818
794543958,"$34,516.00",1219,33297.0,1590,27,0.035,1.129,2.0
716396358,"$3,085.00",1910,1175.0,1531,35,0.619,0.921,0.667
715398033,"$19,040.00",2056,16984.0,1212,31,0.108,0.607,0.722
711743883,"$4,026.00",0,4026.0,1237,32,0.0,0.483,0.6
719720058,"$12,756.00",837,11919.0,1413,14,0.066,1.932,1.8
778992108,"$5,266.00",0,5266.0,1516,29,0.0,1.702,1.636
717539808,"$9,930.00",0,9930.0,1276,21,0.0,0.731,1.333
714070758,"$31,302.00",1953,29349.0,1564,35,0.062,0.875,2.182
714107958,"$6,576.00",0,6576.0,1465,34,0.0,0.579,0.619
789140283,"$2,664.00",2037,627.0,1286,29,0.765,0.85,0.933
715550508,"$2,535.00",2440,95.0,1312,20,0.963,1.705,1.222
719712633,"$1,709.00",895,814.0,1673,32,0.524,1.656,0.882
772629333,"$3,454.00",1200,2254.0,1313,30,0.347,0.597,0.304
720336708,"$3,789.00",1706,2083.0,1609,42,0.45,1.047,0.68
802013583,"$9,689.00",2250,7439.0,1158,19,0.232,0.576,0.727
711887583,"$5,449.00",1628,3821.0,836,18,0.299,0.696,0.385
714778833,"$23,032.00",1960,21072.0,1289,22,0.085,0.619,1.0
713843283,"$34,516.00",2053,32463.0,1487,26,0.059,1.034,0.733
779155158,"$2,940.00",1264,1676.0,1259,33,0.43,0.562,0.5
721091583,"$3,031.00",1879,1152.0,1298,15,0.62,0.788,1.5
713572683,"$1,862.00",0,1862.0,1226,34,0.0,0.883,0.789
716657058,"$8,358.00",926,7432.0,1566,37,0.111,0.762,0.542
779509983,"$34,516.00",931,33585.0,1022,21,0.027,0.828,1.1
717929133,"$14,450.00",2440,12010.0,1235,30,0.169,1.283,0.667
808284783,"$1,438.30",0,1438.3,1951,44,0.0,0.813,1.095
708476808,"$33,791.00",1960,31831.0,1047,31,0.058,0.618,0.824
710916408,"$8,466.00",1886,6580.0,1342,32,0.223,0.56,0.391
708492558,"$15,088.00",865,14223.0,1107,21,0.057,0.939,1.625
799825758,"$3,263.00",1674,1589.0,1251,35,0.513,0.588,0.346
718619883,"$1,494.00",706,788.0,1305,24,0.473,1.674,3.0
711844758,"$13,551.00",1294,12257.0,1388,37,0.095,0.791,1.056
714798783,"$18,886.00",895,17991.0,1235,18,0.047,1.826,1.571
826762908,"$11,976.00",1273,10703.0,2089,36,0.106,1.024,1.118
771894558,"$9,964.00",1559,8405.0,1626,25,0.156,1.873,0.786
721074183,"$24,159.00",1196,22963.0,1111,24,0.05,0.712,1.0
715259583,"$5,362.00",1901,3461.0,1553,38,0.355,0.816,1.0
718414008,"$34,516.00",1023,33493.0,1064,13,0.03,1.004,0.625
719666283,"$3,174.00",1951,1223.0,1243,29,0.615,0.766,0.611
714877233,"$12,262.00",1836,10426.0,1659,38,0.15,1.584,1.533
785387883,"$3,788.00",1540,2248.0,1594,47,0.407,0.566,0.382
771075258,"$34,516.00",1527,32989.0,1268,42,0.044,0.526,0.355
711318033,"$2,926.00",0,2926.0,1304,24,0.0,0.676,0.846
783554958,"$32,090.00",0,32090.0,1368,30,0.0,0.567,0.364
720201033,"$11,669.00",2227,9442.0,720,23,0.191,0.622,0.353
718039683,"$13,532.00",1300,12232.0,1521,29,0.096,0.846,1.417
710806083,"$11,888.00",2090,9798.0,1137,30,0.176,0.7,0.765
714752208,"$2,393.00",1985,408.0,978,16,0.83,0.788,0.778
822063408,"$6,111.00",2517,3594.0,1221,16,0.412,0.632,2.2
714490308,"$19,270.00",1662,17608.0,1565,28,0.086,1.186,1.545
713356833,"$3,710.00",2517,1193.0,1578,34,0.678,1.541,0.7
711402333,"$3,235.00",797,2438.0,1493,32,0.246,0.541,1.0
708296883,"$11,749.00",788,10961.0,1178,27,0.067,0.688,0.929
719154483,"$7,753.00",2100,5653.0,991,26,0.271,0.839,0.733
717721458,"$10,408.00",1186,9222.0,2560,42,0.114,1.689,1.211
711112683,"$3,967.00",1568,2399.0,1657,29,0.395,1.236,1.231
715674483,"$6,205.00",2517,3688.0,1204,19,0.406,0.939,0.727
789322833,"$8,025.00",0,8025.0,673,18,0.0,0.654,0.8
789968058,"$9,036.00",2327,6709.0,1131,18,0.258,0.649,0.636
709919283,"$14,926.00",2517,12409.0,1576,25,0.169,1.996,1.5
718744008,"$6,335.00",1128,5207.0,1217,20,0.178,0.397,0.667
767712558,"$14,979.00",0,14979.0,530,10,0.0,0.71,1.0
712950783,"$2,732.00",0,2732.0,739,16,0.0,0.76,0.455
716104983,"$2,250.00",2117,133.0,1617,31,0.941,1.162,2.875
818839983,"$10,916.00",1536,9380.0,1592,34,0.141,1.317,1.0
772288758,"$5,349.00",1228,4121.0,1343,30,0.23,0.728,1.308
712350858,"$9,366.00",1104,8262.0,1303,39,0.118,0.572,0.625
711009708,"$21,617.00",0,21617.0,1351,22,0.0,1.047,0.467
712720158,"$13,860.00",1652,12208.0,1910,32,0.119,1.255,1.909
712215258,"$18,386.00",0,18386.0,1298,22,0.0,0.868,0.571
773827008,"$2,405.00",1540,865.0,1087,29,0.64,0.469,1.231
795232683,"$2,154.00",930,1224.0,1439,26,0.432,2.121,1.364
713786508,"$2,038.00",0,2038.0,1238,28,0.0,0.786,0.75
713539833,"$8,135.00",0,8135.0,1716,29,0.0,1.373,0.812
712454058,"$9,364.00",618,8746.0,1099,27,0.066,0.554,0.8
718759833,"$32,643.00",0,32643.0,1058,24,0.0,1.3,2.429
718803333,"$3,195.00",1954,1241.0,1285,29,0.612,0.971,0.706
720253908,"$2,852.00",1024,1828.0,1651,28,0.359,1.009,1.0
714133158,"$4,224.00",1305,2919.0,1152,31,0.309,0.852,0.824
713187033,"$20,459.00",2071,18388.0,1767,38,0.101,1.248,2.167
714791208,"$3,482.00",2114,1368.0,1039,24,0.607,0.508,0.263
772426383,"$3,065.00",1570,1495.0,1130,28,0.512,1.077,1.333
710975883,"$2,185.00",1761,424.0,1645,30,0.806,0.682,0.429
714264408,"$1,611.00",746,865.0,1413,29,0.463,0.993,0.706
715827858,"$2,822.00",2173,649.0,1218,23,0.77,1.456,2.286
713741358,"$32,975.00",2517,30458.0,597,17,0.076,0.658,0.7
709531908,"$1,438.30",0,1438.3,2184,53,0.0,0.776,0.828
716493408,"$15,875.00",1719,14156.0,1592,37,0.108,0.86,1.467
714141108,"$6,703.00",893,5810.0,1388,28,0.133,0.567,0.75
708953883,"$3,212.00",0,3212.0,757,20,0.0,0.713,0.25
712608783,"$34,516.00",1260,33256.0,1504,34,0.037,0.588,0.789
820353558,"$9,797.00",1434,8363.0,1503,34,0.146,0.644,0.478
714964758,"$10,400.00",1777,8623.0,1105,28,0.171,0.791,0.867
716264358,"$26,792.00",1836,24956.0,2398,47,0.069,1.432,0.88
717296808,"$3,006.00",2517,489.0,1661,32,0.837,2.053,1.0
712977183,"$19,482.00",1072,18410.0,1421,22,0.055,0.706,1.444
710829108,"$3,356.00",985,2371.0,999,28,0.294,0.35,0.556
779562633,"$5,771.00",2248,3523.0,1387,18,0.39,1.791,0.8
715315833,"$11,106.00",2107,8999.0,1243,24,0.19,0.948,1.0
815500983,"$2,890.00",2001,889.0,1860,36,0.692,1.334,1.0
719360583,"$3,380.00",1701,1679.0,1502,25,0.503,0.747,1.273
709701558,"$21,331.00",1251,20080.0,1460,50,0.059,0.949,1.083
721148358,"$12,860.00",0,12860.0,1348,27,0.0,0.646,0.286
779862408,"$6,278.00",462,5816.0,1087,33,0.074,1.161,0.941
812627208,"$1,438.30",738,700.3,1226,33,0.513,0.782,0.571
711033408,"$9,355.00",1626,7729.0,1230,28,0.174,0.701,0.867
779956608,"$20,758.00",0,20758.0,1555,32,0.0,0.688,0.684
780376683,"$14,612.00",1976,12636.0,1827,24,0.135,1.768,3.0
717912483,"$27,259.00",0,27259.0,1376,35,0.0,0.731,0.591
714454758,"$6,347.00",1594,4753.0,1771,37,0.251,0.896,0.762
780466533,"$21,592.00",1676,19916.0,1873,52,0.078,1.097,0.529
715735233,"$3,449.00",1598,1851.0,1679,42,0.463,0.971,0.556
720476733,"$6,028.00",799,5229.0,1002,22,0.133,0.819,0.571
715872333,"$18,214.00",1998,16216.0,1344,21,0.11,0.829,1.1
712375758,"$16,393.00",1423,14970.0,1461,42,0.087,1.642,0.75
708868233,"$1,438.30",900,538.3,760,21,0.626,0.743,0.615
718030083,"$7,871.00",1687,6184.0,1428,22,0.214,1.242,1.444
720707283,"$5,288.00",866,4422.0,1777,42,0.164,0.869,0.75
771698658,"$11,376.00",2006,9370.0,1302,27,0.176,0.619,0.8
748326258,"$12,302.00",1632,10670.0,1483,41,0.133,1.509,0.519
770817783,"$34,516.00",1679,32837.0,1060,27,0.049,0.623,0.5
779353083,"$34,516.00",1468,33048.0,1330,32,0.043,0.505,0.684
711441333,"$10,514.00",1580,8934.0,1229,27,0.15,0.504,0.8
719808558,"$1,438.30",0,1438.3,886,27,0.0,0.707,0.421
711551958,"$1,438.30",0,1438.3,844,24,0.0,0.688,0.5
809164083,"$2,619.00",1779,840.0,1450,37,0.679,1.259,0.947
820596183,"$24,407.00",2395,22012.0,2311,48,0.098,1.071,0.714
715999608,"$2,377.00",1649,728.0,1378,26,0.694,0.93,1.167
710565408,"$34,516.00",1359,33157.0,1033,26,0.039,1.327,1.364
805543158,"$11,086.00",2207,8879.0,1523,40,0.199,0.869,1.105
709752183,"$11,432.00",2517,8915.0,1374,37,0.22,0.615,0.762
716479233,"$13,258.00",1721,11537.0,1080,21,0.13,0.908,1.333
713837058,"$2,571.00",1955,616.0,1234,24,0.76,0.531,0.714
718876683,"$5,781.00",1168,4613.0,1600,32,0.202,0.638,0.455
770746908,"$7,872.00",2509,5363.0,1155,32,0.319,0.971,0.882
794843883,"$34,516.00",1202,33314.0,1353,33,0.035,0.603,0.737
803043933,"$11,127.00",1835,9292.0,1546,25,0.165,2.368,1.273
758076408,"$1,857.00",1603,254.0,1590,43,0.863,0.579,1.263
714606558,"$1,913.00",1272,641.0,1448,22,0.665,1.008,1.0
778425408,"$3,839.00",2295,1544.0,1271,24,0.598,0.569,0.714
714171108,"$2,115.00",1141,974.0,1223,20,0.539,0.616,0.538
719662458,"$1,438.30",679,759.3,1117,29,0.472,0.859,1.071
713137233,"$27,756.00",1789,25967.0,994,24,0.064,0.75,0.846
769425858,"$1,438.30",0,1438.3,1468,26,0.0,0.81,0.625
711297483,"$13,878.00",2222,11656.0,1658,38,0.16,0.853,0.357
788900883,"$3,106.00",1304,1802.0,1368,38,0.42,0.604,0.407
758348808,"$34,516.00",1666,32850.0,1218,18,0.048,0.613,0.8
772336458,"$1,438.30",1025,413.3,702,12,0.713,0.838,0.714
708711483,"$18,871.00",1740,17131.0,1516,21,0.092,1.727,2.0
717906783,"$5,207.00",1748,3459.0,1310,26,0.336,1.073,1.0
719437908,"$17,965.00",1644,16321.0,1767,50,0.092,0.921,0.923
769433508,"$2,733.00",1819,914.0,933,25,0.666,0.767,0.923
790096533,"$8,863.00",1301,7562.0,1512,27,0.147,1.207,1.455
787541883,"$34,516.00",0,34516.0,1120,27,0.0,0.483,0.35
709930758,"$11,107.00",1222,9885.0,1506,33,0.11,0.538,0.941
789830058,"$21,573.00",1585,19988.0,1384,36,0.073,0.621,2.273
710299608,"$2,859.00",2517,342.0,817,30,0.88,0.993,0.667
710741208,"$5,269.00",1475,3794.0,2094,25,0.28,1.148,0.667
821797008,"$1,438.30",0,1438.3,815,21,0.0,0.734,0.615
708874533,"$3,387.00",0,3387.0,510,24,0.0,0.789,0.6
715341858,"$1,982.00",1289,693.0,1377,49,0.65,0.939,0.69
793636308,"$4,645.00",1650,2995.0,1193,33,0.355,0.912,0.65
713779908,"$2,189.00",1666,523.0,1287,36,0.761,0.343,0.636
712125258,"$2,442.00",0,2442.0,701,19,0.0,0.98,0.727
709703433,"$21,304.00",1532,19772.0,1770,25,0.072,1.018,0.923
721022433,"$7,577.00",2480,5097.0,1409,35,0.327,0.435,0.167
710103558,"$3,234.00",1486,1748.0,1354,28,0.459,0.868,0.647
715952883,"$4,469.00",1125,3344.0,1765,34,0.252,1.363,1.615
719731458,"$2,910.00",709,2201.0,1192,27,0.244,0.538,0.588
772390908,"$3,616.00",1054,2562.0,687,17,0.291,0.616,0.545
787348608,"$3,252.00",1495,1757.0,1227,15,0.46,0.581,0.875
709485033,"$2,358.00",1152,1206.0,1737,26,0.489,0.969,1.6
715432608,"$22,322.00",953,21369.0,1348,34,0.043,0.769,1.125
799471833,"$3,133.00",1510,1623.0,1435,38,0.482,0.609,0.462
714187533,"$3,540.00",849,2691.0,1321,28,0.24,0.456,0.75
779656908,"$6,990.00",1378,5612.0,1479,29,0.197,0.73,0.611
788950158,"$34,516.00",1652,32864.0,1283,39,0.048,0.854,1.294
778867533,"$1,438.30",0,1438.3,689,23,0.0,1.038,0.353
710620383,"$24,396.00",1171,23225.0,965,17,0.048,0.655,1.125
778661358,"$2,474.00",2143,331.0,1541,40,0.866,1.53,1.0
789483333,"$5,214.00",795,4419.0,1258,23,0.152,0.707,1.3
809855808,"$5,207.00",1650,3557.0,1339,20,0.317,0.708,0.538
718464258,"$9,512.00",1082,8430.0,1007,22,0.114,0.701,1.444
708528483,"$3,187.00",2430,757.0,1387,33,0.762,0.617,1.357
771809733,"$3,353.00",0,3353.0,960,18,0.0,1.021,0.385
719942883,"$2,290.00",1434,856.0,1119,18,0.626,0.923,3.5
807226683,"$5,279.00",1115,4164.0,1642,41,0.211,0.549,0.519
717806133,"$23,603.00",0,23603.0,1382,31,0.0,0.795,1.067
720615708,"$2,601.00",0,2601.0,1232,32,0.0,0.814,0.684
714511758,"$6,363.00",1029,5334.0,1542,16,0.162,0.838,1.286
715050408,"$8,029.00",1576,6453.0,1094,32,0.196,0.826,0.524
721132233,"$2,410.00",1769,641.0,1217,30,0.734,0.759,1.143
719211558,"$3,401.00",0,3401.0,744,18,0.0,0.898,1.0
712069008,"$2,260.00",1007,1253.0,1614,33,0.446,0.84,0.737
715996983,"$17,682.00",2481,15201.0,1747,31,0.14,1.302,1.214
773466258,"$4,206.00",1100,3106.0,1144,22,0.262,0.587,1.0
798983508,"$34,516.00",1440,33076.0,1575,34,0.042,1.117,2.4
719117433,"$23,018.00",2168,20850.0,1463,24,0.094,0.859,1.667
716451183,"$5,556.00",1711,3845.0,1706,21,0.308,1.434,1.625
718621608,"$6,094.00",0,6094.0,909,14,0.0,1.129,0.273
715085733,"$2,939.00",1999,940.0,2434,33,0.68,2.145,1.538
788977833,"$5,362.00",1274,4088.0,1876,41,0.238,1.015,0.783
720272958,"$27,126.00",0,27126.0,1000,25,0.0,0.953,0.786
708421833,"$3,342.00",2517,825.0,1139,30,0.753,0.771,0.765
709173108,"$2,532.00",2221,311.0,799,21,0.877,0.491,0.235
709879458,"$1,900.00",1376,524.0,1881,45,0.724,0.89,0.607
715120608,"$14,546.00",1703,12843.0,1273,27,0.117,0.955,0.588
770632758,"$2,521.00",1608,913.0,1328,33,0.638,0.587,0.571
779078733,"$16,427.00",1682,14745.0,1579,36,0.102,0.631,1.118
771742533,"$13,068.00",1718,11350.0,937,28,0.131,0.607,0.556
720250158,"$23,218.00",1814,21404.0,1749,37,0.078,1.178,2.083
716458983,"$3,281.00",837,2444.0,1424,29,0.255,1.859,1.417
713747733,"$3,096.00",2217,879.0,2011,41,0.716,0.799,0.783
712270158,"$2,052.00",1250,802.0,1208,31,0.609,0.728,0.632
789562383,"$1,438.30",583,855.3,1259,24,0.405,0.888,1.0
754897008,"$9,432.00",1418,8014.0,1319,26,0.15,0.612,0.368
819700533,"$14,938.00",2303,12635.0,949,27,0.154,0.804,2.0
712890408,"$2,221.00",1343,878.0,1338,30,0.605,0.869,1.308
720248208,"$5,731.00",1577,4154.0,1554,26,0.275,0.657,0.444
779749908,"$34,516.00",2061,32455.0,1350,32,0.06,0.722,0.455
717401883,"$6,985.00",1130,5855.0,1694,44,0.162,0.963,0.76
721509558,"$24,221.00",1707,22514.0,1678,40,0.07,0.816,0.538
710572458,"$15,439.00",0,15439.0,2069,43,0.0,0.742,0.536
714576183,"$21,637.00",2030,19607.0,1222,23,0.094,0.776,0.438
721425558,"$14,543.00",0,14543.0,1536,37,0.0,0.788,0.423
711109908,"$9,684.00",2475,7209.0,1400,31,0.256,0.697,2.1
715203108,"$5,007.00",930,4077.0,1050,28,0.186,0.885,1.154
710027508,"$1,616.00",1047,569.0,1389,33,0.648,0.984,1.2
787464408,"$19,116.00",0,19116.0,1184,29,0.0,0.656,0.611
783542133,"$2,759.00",2223,536.0,2093,42,0.806,1.32,1.0
708330858,"$8,249.00",1381,6868.0,678,11,0.167,0.798,0.833
714426783,"$14,041.00",2154,11887.0,1467,29,0.153,1.084,1.417
712701333,"$5,264.00",2169,3095.0,1219,27,0.412,0.374,0.5
709494483,"$2,420.00",1912,508.0,1730,36,0.79,1.256,0.565
773373108,"$2,826.00",2070,756.0,1025,28,0.732,0.541,0.647
715812258,"$12,518.00",1539,10979.0,1165,33,0.123,0.645,0.833
778286433,"$5,876.00",1297,4579.0,2133,55,0.221,1.012,0.719
789270033,"$34,516.00",0,34516.0,1122,13,0.0,0.448,0.182
711569433,"$9,648.00",1926,7722.0,1083,22,0.2,0.549,1.75
720214833,"$34,516.00",2177,32339.0,1234,23,0.063,1.32,1.875
709346133,ERR_VAL,2376,649.0,1277,23,0.785,1.252,1.875
788194458,"$3,265.00",2517,748.0,1843,35,0.771,0.952,0.944
720779733,"$6,041.00",1355,4686.0,1747,49,0.224,0.685,0.581
717424458,"$2,293.00",1823,470.0,1166,22,0.795,0.617,1.444
708820308,"$13,399.00",2505,10894.0,1326,31,0.187,0.627,0.824
710558058,"$4,317.00",2517,1800.0,1619,36,0.583,0.944,1.0
770590758,"$3,378.00",1069,2309.0,1285,16,0.316,0.581,0.333
718490658,"$5,012.00",2242,2770.0,1142,28,0.447,0.816,1.0
711985833,"$2,569.00",1605,964.0,1190,46,0.625,0.574,0.643
708967608,"$3,471.00",1785,1686.0,1052,24,0.514,1.051,0.714
718505958,"$34,516.00",1699,32817.0,1628,38,0.049,0.771,0.727
715024233,"$3,312.00",1844,1468.0,1740,32,0.557,0.986,0.882
779249583,"$2,578.00",2462,116.0,1378,29,0.955,1.707,0.812
709278258,"$2,902.00",2517,385.0,996,26,0.867,0.821,0.444
778928283,"$2,742.00",2321,421.0,1389,32,0.846,1.315,0.6
712299858,"$2,077.00",1571,506.0,1365,38,0.756,1.031,1.0
799224108,"$6,265.00",1942,4323.0,1715,43,0.31,1.027,0.87
